institution,slug,country,continent,repository_code,archive_type,filmoteca_espanola_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/tetragramaton,Tetragrámaton,Escuela de cine; Ficción; Suspense; Práctica académica; Policiaco; país: España; colección: Colección IIEC/EOC; etiquetas: Asesinos; Crimen,"El nombre de Dios en hebreo une a un policía escéptico y a un columnista esotérico en una serie de misteriosos asesinatos. | Las claves ocultas en una serie de asesinatos entre la comunidad hebrea dan lugar a un juego entre un policía descreído y un columnista aficionado al esoterismo. | código PLATFO: INV0002816 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: B/N + virados | idioma original: Español | duración declarada: 1305 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1971
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/un-tren-pasa,Un tren pasa,Escuela de cine; Ficción; Drama; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Salud mental; Vejez,"Un hombre escapa de un hospital psiquiátrico para visitar a una antigua amiga. | Un viejo conocido llega a casa de una mujer. A través de distintas conversaciones y actos extravagantes intenta que su amiga se cuestione la monotonía en la que está inmersa. Después de una tarde de juegos, unos enfermeros irrumpen en el jardín de ella y se llevan a rastras al hombre. | código PLATFO: INV0003472 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Color | idioma original: Español | duración declarada: 1483 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1971
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/antologia,Antología,Escuela de cine; Ficción; Drama; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Teatro; Surrealismo,"Un grupo de jóvenes llega a una reunión en la que presenciarán extrañas representaciones teatrales. | Un grupo de jóvenes llega a una reunión en la que se quedan absortos ante lo que dice y hace un hombre sobre un escenario. En el cartel que da paso a la habitación pone: ""Yo moriré. Tú morirás. Él morirá. Todos nosotros moriremos"". A lo largo de la velada, los participantes escuchan música, bailan y realizan distintas actividades teatralizadas con tintes siniestros. | código PLATFO: INV0002812 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | duración declarada: 2916 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1970
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/el-leon,El león,Escuela de cine; Ficción; Práctica académica; Fantástico; país: España; colección: Colección IIEC/EOC; etiquetas: Entorno laboral,"Un contable se da cuenta de que ha desaparecido, pues nadie parece verle. Sólo cuando se sube a uno de los leones de las Cortes recupera su presencia. | Tras terminar su jornada de trabajo, un hombre se da cuenta de que la gente parece no verle: ni sus compañeros, ni las personas que se cruza por la calle, ni el camarero de un bar... Al llegar al baño de su casa descubre que su reflejo ha desaparecido. Asustado, sale corriendo a la calle y llega al Congreso de los Diputados. Una vez allí decide treparse a uno de los leones que lo custodian, desde donde, ahora sí, los transeúntes le pueden ver. | código PLATFO: INV0003465 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 602 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1970
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/la-huida,La huida,Escuela de cine; Ficción; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Robos y atracos,"Un grupo de jóvenes planea una huida. Material original sin montar. Aparece una joven Victoria Vera, estudiante de interpretación en la EOC. | Tres jóvenes se reúnen en un bar para planificar algo. Dos de ellos se dirigen a una casa donde una joven, recostada en la cama, se contempla vanidosamente en el espejo. El tercer joven acude a un joyero para que valore las joyas que lleva en una maleta. La joven baila sensualmente ante varios jóvenes. Posteriormente se marchan en coche. Finalmente, uno de ellos pasea por la Plaza Mayor de Madrid. | código PLATFO: INV0003463 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | duración declarada: 1657 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1970
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/la-muneca-reina,La muñeca reina,Escuela de cine; Ficción; Drama; Práctica académica; país: España; colección: Colección IIEC/EOC,"Un recuerdo de la infancia lleva a un joven a una finca en la que solía jugar con una amiga. | Un joven vuelve a la finca donde jugaba de pequeño atraído por el recuerdo de su compañera de juegos. La pareja de guardeses hace todo por alejarle de allí y le informan de que la muchacha falleció, pero él regresa dispuesto a encontrarla. | código PLATFO: INV0003466 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 806 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1970
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/las-babas-del-diablo,Las babas del diablo,Escuela de cine; Ficción; Drama; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Fotografía,"Un fotógrafo que toma instantáneas en una plaza sorprende a una mujer acompañada de un joven. | Un fotógrafo captura imágenes de varias parejas en una plaza. Una de las parejas, compuesta por una mujer y un joven, se molesta y reprende al fotógrafo. Al día siguiente, el fotógrafo recibe la visita de su novia y, al revisar las fotos del día anterior, ambos se sorprenden. Deciden regresar a la plaza, donde encuentran a la misma mujer acompañada de un joven diferente. | código PLATFO: INV0003462 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | duración declarada: 760 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1970
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/androides-inc,Androides Inc.,Escuela de cine; Ficción; Práctica académica; Fantástico; país: España; colección: Colección IIEC/EOC; etiquetas: Flores en la sombra; Robots; Distopías,"Una familia compra a una joven androide como asistenta. | En un futuro distópico donde las personas viven en ciudades deshumanizadas, tras debatirlo, un matrimonio adquiere para su hogar un robot asistente. Este robot, con apariencia femenina, está programado para realizar tareas de limpieza, preparar alimentos y enseñar a los niños pequeños. En este futuro, la poesía y los clásicos literarios han desaparecido, y es el propio robot quien insiste en su inclusión como parte esencial de la educación, argumentando que estos elementos son cruciales para recuperar los valores perdidos en la sociedad. | código PLATFO: INV0003405 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 847 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1969
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/determinados-universos-infantiles,Determinados universos infantiles,Escuela de cine; Ficción; Suspense; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Infancia,"Práctica inspirada en ""La pequeña Lulú"", viñeta gráfica sobre el personaje creado por Marjorie Henderson Buell. | Una niña vive sola en una casa donde las puertas están cerradas. Poco a poco va abriéndolas, pero hay una que le da miedo. Cuando finalmente la abre, se da cuenta de que es la de la calle. | código PLATFO: INV0003406 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 835 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1969
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/eclipse-parcial,Eclipse parcial,Escuela de cine; Ficción; Drama; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Danza,"Material original sin montar de una práctica de Fernando Méndez Leite en la Escuela Oficial de Cine. Dos mujeres conversan sobre África. | Una joven reflexiona sobre diferentes datos de países africanos mientras observa unas pruebas de baile que, a ritmo africano, realizan otras dos chicas. | código PLATFO: INV0003407 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro y color | idioma original: Español | duración declarada: 507 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1969
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/el-espiritu,El espíritu,Escuela de cine; Ficción; Práctica académica; Fantástico; país: España; colección: Colección IIEC/EOC; etiquetas: Flores en la sombra; Espiritismo; Recomendadas,"Práctica realizada por el mago Juan Tamariz en la Escuela Oficial de Cine, que supone la primera aparición en las pantallas de la actriz Carmen Maura. | En una sesión de espiritismo a un joven se le aparece el espíritu de una mujer. | código PLATFO: INV0003457 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 763 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1969
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/el-horla,El horla,Escuela de cine; Ficción; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Salud mental,"Práctica de Antonio Castro en la EOC, adaptación del cuento de Guy de Maupassant. Un médico visita a un antiguo amigo en el hospital psiquiátrico. | Un hombre le hace una visita a un antiguo compañero que está internado en un hospital psiquiátrico. Éste le cuenta sus obsesiones y los pensamientos que le atormentan, intentando convencer a su amigo de que le ayude a escapar. | código PLATFO: INV0003458 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 1048 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1969
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/historia-de-la-vida-de-blancanieves,Historia de la vida de Blancanieves,Escuela de cine; Ficción; Práctica académica; Fantástico; Político; país: España; colección: Colección IIEC/EOC; etiquetas: Censuradas; Recomendadas,"Versión del cuento de Blancanieves de los hermanos Grimm con reflexiones políticas y morales. | Partiendo del clásico cuento de los hermanos Grimm, el director realiza una crítica mordaz e irónica de la sociedad. | código PLATFO: INV0002802 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 3346 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1969
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/insoluble,Insoluble,Escuela de cine; Ficción; Práctica académica; Experimental; país: España; colección: Colección IIEC/EOC,"Práctica de Manolo Marinero en la Escuela Oficial de Cine. Dos hombres y dos mujeres encerrados en una habitación interrogan a uno de ellos. | En una habitación que podría ser un estudio de artista, un joven y una mujer interrogan a un hombre. Posteriormente, el interrogatorio es continuado por dos mujeres. En el centro de la mesa de la habitación se encuentra una réplica de la escultura ""Los luchadores"" de Pietro Bazzanti, junto a un cuadro de líneas blancas y negras y una escopeta. Un caso sin resolver. | código PLATFO: INV0003459 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | duración declarada: 390 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1969
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/la-manzana-en-el-fondo-del-frutero,La manzana en el fondo del frutero,Escuela de cine; Ficción; Suspense; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Crimen; Enredos amorosos,"Práctica de Romualdo Molina en la EOC. Un hombre consumido por los celos comete un asesinato. | Arturo mata a Humberto porque está celoso de la relación de este con Loli. Mientras revive el asesinato y las circunstancias que lo han conducido a ello, intenta limpiar obsesivamente sus huellas. | código PLATFO: INV0003460 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 1011 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1969
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/tigo,Tigo,Escuela de cine; Ficción; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Prostitución,"Práctica de José Luis García Sánchez en la Escuela Oficial de Cine. Comedia surrealista en la que un joven acude a un extraño prostíbulo. | Comedia irreverente y surrealista donde un joven visita un peculiar prostíbulo. A lo largo de la película, se presentan personajes inusuales que participan en divagaciones sobre sexualidad, pornografía, amor, mujeres, intelectualidad... | código PLATFO: INV0003461 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español; Inglés | duración declarada: 1160 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1969
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/apuntes-sobre-la-tortura-y-otras-formas-de-dialogo,Apuntes sobre la tortura y otras formas de diálogo,Escuela de cine; Ficción; Práctica académica; Político; país: España; colección: Colección IIEC/EOC; etiquetas: Flores en la sombra; Dictadura militar chilena,"Aproximación sarcástica a la situación política de América Latina bajo la apariencia de un comercial televisivo sobre instrumentos de tortura. | A partir de recursos rescatados del teatro del absurdo, Patricio Guzmán realiza en este cortometraje una mordaz crítica de la dictadura chilena. Con la apariencia de un comercial televisivo, sarcásticamente y empleando algunos términos en inglés (como ""High Cromatic"", ""Modelo Ranger, ""African Cry""...), se describen distintos instrumentos de tortura, disponibles en una gran variedad de modelos en función de la zona geográfica en la que se quieran aplicar. En el elenco de personajes que van apareciendo también se aprecia una crítica contra los intelectuales de izquierdas por parte del director, ya que considera que viven rodeados de libros y nunca pasan de la teoría a la acción para combatir el mal que denuncian. Desde el punto de vista ideológico, más que una posición política se muestran signos de exasperación: se trata de un trabajo realizado desde la impaciencia crítica, la urgencia y, a la vez, la conciencia de futilidad del esfuerzo meramente cultural. Denota y delata una conciencia agónica ante la situación política de América Latina. | código PLATFO: INV0003402 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 899 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1968
