institution,slug,country,continent,repository_code,archive_type,bfi_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/5f4b9d15-a175-5430-8a43-1dffbf40258d,Mossmorran and the Kingdom,Documentary; Industry sponsored film,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Documentary; Industry sponsored film | assuntos: Fife; North Sea Gas | locais: Fife; Cowdenbeath | som: Sound | duração: 20 min | Brightcove: 6057949427001/ref:xhcGJjYTE64oxczxo4n2TfASMrRk1EQI | Depicts the many and varied aspects of living in Fife, and some of the more significant changes which have taken place in this part of Scotland during the last few decades. Education, industry and sporting pursuits all play an important part in the film. The Esso and Shell natural gas liquids fractionation plant at Mossmorran, officially opened in November 1984, is also shown. Intended for secondary schools and other interested bodies",1984,Mossmorran and the Kingdom,1984-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/50967aa6-3123-5eca-bd46-364098c50acf,Housing for the Disabled,Documentary,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Documentary | assuntos: Cumbria; Housing; Disability; Peckham; Disabled people; Disability aids; Homes for the disabled; Wheelchairs; Gwent; Subsidies | locais: Peckham | som: Sound | duração: 26 min | Brightcove: 6057949427001/ref:wzbWI1NzE6VMludsyUA3nSkmoNq5vA97 | Disabled people describe the improvements brought about by the provision of specially designed housing, such as `mobility houses' specially designed for wheelchair users. Illustrates the points by looking at work undertaken by the local authorities in Alladale, Cumbria and Gwent. Looks at `adaption grants' for private householders which enable them to alter older premises. Assessments of the needs of the disabled (eg, showers instead of baths). Visits the Habinteg Housing Association in Peckham Rye, which is an estate specially built with the disabled in mind. Looks at the possibilities available to first time (disabled) buyers through new housing developments, the N.A.B.C. and private developers. | A training film, made in Cumbria, Gwent and Peckham Rye, revealing government thinking in the early 1980s | Gwent, Allerdale (in Cumbria) and, in particular, the Habinteg Housing Association estate in Peckham Rye all feature in this government training film. At a time of evolving policy both on disability and housing, it was used to...",1982,Housing for the Disabled,1982-01-01,"Vida pública, política e história",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/f2f487eb-873a-5ecc-adb4-e9d822b7d062,Lambeth: The Council That Cares,Campaigning film,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Campaigning film | assuntos: Lambeth; Local councils (Britain); Public expenditure | locais: Lambeth | som: Sound | duração: 15 min | Brightcove: 6057949427001/ref:52cmgxdjp0cqLl1OOYJng_9IZ-2HNQ5a | Lambeth borough. South London. Leader of the Council, Ted Knight speaks about central government (Conservative ) budget cuts that will destroy the social fabric of Lambeth. March from Brixton to Westminster to demonstrate against cuts. Councillor speaks about the cuts. Lambeth construction services - housing offical on Lambeth Council discusses housing problems and Lambeth's housing projects. Chairman of Social Services talks about the services provided for children, old people and the disabled, the Consumer Advice Centre and the services it provides and training schemes for the unemployed. Brixtion riots are mentioned and an encounter with Michael Heseltine which eventually led to increased funding but statement that 'the war isn't over yet'. | The red flags are flying high at Lambeth town hall in a biting critique of the effects of Thatcherism on London's most deprived. | The red flags are flying high at Brixton town hall in this biting critique of the effects of Tory funding cuts on London's most deprived inner-city borough. Labour Council Leader Ted Knight leads the anti-Thatcher charge and...",1982,Lambeth: The Council That Cares,1982-01-01,"Vida pública, política e história",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/3e9e7eb5-3b84-5893-aa26-2586b52431f7,Grove Carnival,Documentary,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Documentary | assuntos: Notting Hill Carnival | locais: Notting Hill | som: Sound | duração: 19 min | Brightcove: 6057949427001/ref:52NzUxdjrtVLLfxSBDJEii3vBqhzVaXL | A kaleidoscopic celebration of the 1980 Notting Hill Carnival. | West London echoes to the sound of reggae and steel pans in this kaleidoscopic record of the 1980 Notting Hill Carnival. | This kaleidoscopic record of the 1980 Notting Hill Carnival invites you into the busy streets, following floats and popping into community centres where performers prepare. The diversity of the crowd really makes Carnival, and here we see the original punks, the dancing coppers, the nostalgic Caribbean ex-pats. With no narrator, the film echoes the event's relaxed yet ecstatic rhythm.",1981,Grove Carnival,1981-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/1c36e8ab-74d7-5ecb-81cc-41bffa4370a7,Soho,Documentary,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Documentary | assuntos: Feminism; Women workers; Tailoring; Soho; Restaurants; Film laboratories | locais: Soho | som: Sound | duração: 20 min | Brightcove: 6057949427001/ref:FqNXdudTpuKCoZHx9YF9xrw5eph3zmkT | The film examines the work of women in the film laboratories, restaurants and tailor shops of Soho. From the Marxist-Feminist perspective, labour is always hidden, and that women's labour in the area is consistently restricted to low-paid and piece work. The film gives a platform to women workers and we see their work and hear their commentary in voice-over, describing career prospects, conditions, differences in male and female labour, etc. The use of a poem by Marge Piercy (""A Work of Artifice"") draws an analogy between the cultivation of Bonsai trees and the social definition of female identity, expanding the film's arguments into the debate over nature/nurture. Features workers from: Arnold & Buckley, Humphries Laboratories, Kays Laboratories, Better Sound Ltd, La Cucaracha, Poons Restaurant. | A feminist view of how small businesses in London's Soho exploit working women. | A fascinating window on to the ways women contribute to various industries in London's bohemian quarter, exploring the lack of opportunity and inequality with male employees. Particularly interesting are the v...",1981,Soho,1981-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/855756ec-f4c9-5366-aab0-b6faee27448a,Automatic Ticket Barriers at Oxford Circus,Documentary,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Documentary | assuntos: London; Underground railways; Oxford Circus Underground Station; Ticket machines | locais: London | som: Sound | duração: 8 min | Brightcove: 6057949427001/ref:hxN211dzq0Czt-bD0A61oZTbtlgiwDTn | The automatic ticket barriers at Oxford Circus station, shows some of the design features, used and abused by passengers. | New-fangled ticket barriers arrive at Oxford Circus station, with design features which are used and abused by passengers | This examination of the design features used and abused on London's 1980s tube upgrade was produced by the Transport and Road Research Laboratory. There's no more queueing at Oxford Circus as the new automatic ticket barriers are now in use. There's no British Standard for the British passenger though, and the number of bags they carry and whether they're right or left handed affects how easy it is to use these new barriers.",1980,Automatic Ticket Barriers at Oxford Circus,1980-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/b5341942-afe7-52a0-9e63-ad5c0bc7452c,From the Wolds to the Sea,Travelogue; Promotional,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Travelogue; Promotional | assuntos: Tourism; Skegness; Lincolnshire | locais: Skegness; Mablethorpe; Elsham Wolds; Louth; Horncastle; Wainfleet St Mary; Spilsby; Alford; Alvingham; Woodhall Spa; Gibraltar Point | som: Sound | duração: 24 min | Brightcove: 6057949427001/ref:hocHd5YjE6-oj7JnHF_pr7jieYLhoI1m | A view of the East Lindsey area of Lincolnshire, depicting the holiday resorts of Skegness and Maplethorpe, contrasting them with the Lincolnshire Wolds and the market towns and villages of the area",1980,From the Wolds to the Sea,1980-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/cd76a28d-fc5b-5bcc-bdbb-7e59bbd5029c,Somewhere in Hackney,Documentary,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Documentary | assuntos: Hackney; Community arts | locais: Hackney | som: Sound | duração: 50 min | Brightcove: 6057949427001/ref:lsYnVudTrI3vuw49uXUzi4SZJe9w5jvE | Survey of four community arts projects in Hackney: the Freeform Performance Group; the Lenthall Road Workshop; the Hoxton Hall Adult Drama Group; the Centreprise complex in Dalston. Looks at the work of four community based arts groups, all of whom operate in the predominantly working class London Borough of Hackney: a performance group called Freeform; a graphic design shop called Lenthal Road Workshop; a community centre with music hall associations called Hoxton Hall; a writers' workshop and adult literacy group called Centreprise. | An entertaining study of community arts projects in Hackney, Hoxton and Dalston, before hipsters and Tony Blair. | Some of Hackney's most notorious landmarks feature alongside some of the borough's much-loved institutions in this entertaining period piece about four community-based arts projects rooted in the 1970s. Long before the regeneration heralded by the arrival of Tony Blair, street artists get down with the kids on run-down council estates. Women at a print workshop in Lentall Road produce striking feminist posters and graphic designs while historic Hoxton Hall offers drama and a pensioner...",1980,Somewhere in Hackney,1980-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/af1d3600-2539-5cea-89c2-9dd2c1143cfd,Steel 'n' Skin,Performance,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Performance | assuntos: Afro-Caribbean community in Great Britain; Dance | locais: Liverpool; Formby Hall | som: Sound | duração: 36 min | Brightcove: 6057949427001/ref:F4OW9zNjE6zckkqJUxHfyUguZkpVh_Kb | Made during a ten day project in Merseyside in which the group gave a series of workshops and performances in the community, teaching such arts as musical instrument making, the making of traditional African clothes and prints, Afro- Caribbean cooking, and hair plaiting, as well as music, drama and dance. | A collective dedicated to arts, culture and performance | Here is an exciting and energetic profile of arts collective 'Steel n Skin', providing a 'behind the scenes' look into the group as they hold music, movement and performance workshops across Liverpool | Steelpan and drum skin: a marriage of Black heritage from Africa, the West Indies and generations of Black British culture is at the heart of this fantastic community arts project. A group of artists with a pioneering spirit head into some of the most neglected parts of Liverpool to address tensions and celebrate diversity in areas where it's often castigated. Filmed over a 10-day workshop, it's evident that the project was memorable to Liverpudlians of all ages and backgrounds!",1979,Steel 'n' Skin,1979-01-01,Ficção cinematográfica,Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/c50d6c75-4220-5fa9-8c29-5f45c23dcdaa,Hackney Marshes,Artists' Moving Image,Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Artists' Moving Image | assuntos: Housing; London; Hackney; Tower blocks | locais: Hackney Marsh | som: Silent | duração: 35 min | Brightcove: 6057949427001/ref:hjYTY4YTE60LHpZ1-bOWdreGpU87zcl- | An examination of tower block living in Hackney.,1978-08-08,Hackney Marshes,1978-08-08,"Artes, música e experimentação",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/7baf4a76-3a47-5899-b519-46929ba3c147,Our Liverpool Home,Documentary,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Documentary | assuntos: Housing; Liverpool; Co-operatives | locais: Liverpool | som: Sound | duração: 30 min | Brightcove: 6057949427001/ref:J2eXVpeTrvMIbivOIEAZOYEcJsrBpEV0 | An account of the Corn Street and Yates Street Housing Co-operative in Liverpool where some 52 families, living in run-down 19th century housing terraces, form a co-op with the help of a loan from the Housing Corporation purchase and modernise their own homes.",1978,Our Liverpool Home,1978-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/bda5a574-2ab8-5685-86a1-951eb8cf4d87,Sidewalk Surfing,Cinemagazine,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Cinemagazine | assuntos: Skateboarding | locais: Lambeth | som: Silent | duração: 5 min | Brightcove: 6057949427001/ref:owZHhzMDE605mHJksg4-xx4hg19RtloC | Skateboarding came only recently to Britain but it’s now our fastest growing sport. It’s already got too big for the streets, but Maggie Palmer visits ‘Skate City’ on the banks of the Thames, where 3,000 kids a day can practice their surfing - off the sidewalk. | Skate City on the banks of the Thames | Dogtown it ain't, but these London Z-boys and girls are making the most of Skate City on the south bank of the Thames | In the shadow of Tower Bridge lay London's Dogtown. Skate City was Britain's first commercial skate park, built on the crest of skateboarding's 1970s wave reaching the UK. Built for skaters by skaters it appears a mini-Mecca for those who chose to grind away the daily grind. This report for the This is Britain cinemagazine carried the story overseas, redubbed into Spanish. This government film is a public record, preserved and presented by the BFI National Archive on behalf of The National Archives, home to more than 1,000 years of British history.",1978,Sidewalk Surfing,1978-01-01,"Vida pública, política e história",Arquivo audiovisual público curado
