institution,slug,country,continent,repository_code,archive_type,ape_detail_url,content_available_in_ape,website_available,partner_site,partner_domain,status,http_code,integrity_status,final_url,video_links_found_total,embedded_video_signals_total,candidate_internal_pages,priority_review,warning,error
Arbeiderbevegelsens arkiv i Telemark,arbeiderbevegelsens-arkiv-i-telemark,Norway,Europe,NO-00000028275,"Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations",https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028275,True,True,http://nia.museum.no/aat%0D%0A%0D%0AEpost:  post@a-arkiv.no%0D%0A%0D%0AMer informasjon%0D%0A%0D%0A%0D%0AArbeiderbevegelsens arkiv og bibliotek%0D%0A%0D%0APostadresse: Youngsgt 11 %0D%0A%0D%0APoststed: 0181 OSLO %0D%0A%0D%0ATelefon: 23061758 %0D%0A%0D%0ANettside:,nia.no,http_error,520,quebrado,https://www.nia.no/aat%0D%0A%0D%0AEpost:%20%20post@a-arkiv.no%0D%0A%0D%0AMer%20informasjon%0D%0A%0D%0A%0D%0AArbeiderbevegelsens%20arkiv%20og%20bibliotek%0D%0A%0D%0APostadresse:%20Youngsgt%2011%20%0D%0A%0D%0APoststed:%200181%20OSLO%20%0D%0A%0D%0ATelefon:%2023061758%20%0D%0A%0D%0ANettside:,0,0,0,alta,,
Arbeiderbevegelsens arkiv og bibliotek,arbeiderbevegelsens-arkiv-og-bibliotek,Norway,Europe,NO-00000028271,"Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations",https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028271,True,True,http://www.arbark.no/,arbark.no,ok,200,integro,https://www.arbark.no/,0,0,0,baixa,,
Arkiv i Nordland,arkiv-i-nordland,Norway,Europe,NO-00000028273,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028273,True,True,http://www.arkivinordland.no/,nfk.no,ok,200,integro,https://www.nfk.no/,0,0,0,baixa,,
ARKIVET freds- og menneskerettighetssenter,arkivet-freds-og-menneskerettighetssenter,Norway,Europe,NO-00000028910,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028910,True,True,https://arkivet.no/,arkivet.no,ok,200,integro,https://arkivet.no/,0,0,0,baixa,,
Aust-Agder kulturhistoriske senter,aust-agder-kulturhistoriske-senter,Norway,Europe,NO-00000028276,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028276,True,True,http://www.aaks.no/,aaks.no,ok,200,integro,http://www.aaks.no/,0,0,0,baixa,,
Bærum Kommune,b-rum-kommune,Norway,Europe,NO-00000028911,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028911,True,True,https://www.baerum.kommune.no/,baerum.kommune.no,ok,200,integro,https://www.baerum.kommune.no/,0,0,0,baixa,,
Bergen byarkiv,bergen-byarkiv,Norway,Europe,NO-00000028277,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028277,True,True,https://www.bergen.kommune.no/omkommunen/avdelinger/bergen-byarkiv,bergen.kommune.no,ok,200,integro,https://www.bergen.kommune.no/omkommunen/avdelinger/bergen-byarkiv,0,2,0,media,,
Drammen byarkiv,drammen-byarkiv,Norway,Europe,NO-00000028278,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028278,True,True,https://www.drammen.kommune.no/no/Om-kommunen/Virksomheter/Service-og-administrasjon/Byarkivet/,drammen.kommune.no,http_error,404,quebrado,https://www.drammen.kommune.no/no/Om-kommunen/Virksomheter/Service-og-administrasjon/Byarkivet/,0,0,0,alta,,
Finnmark fylkesbibliotek,finnmark-fylkesbibliotek,Norway,Europe,NO-00000028279,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028279,True,True,http://www.fm.fylkesbibl.no/web/,fylkesbibliotek.ffk.no,ok,200,integro,https://fylkesbibliotek.ffk.no/,0,0,0,baixa,,
Folloarkivet,folloarkivet,Norway,Europe,NO-00000028280,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028280,True,True,http://www.folloarkivet.no,folloarkivet.no,ok,200,integro,https://www.folloarkivet.no/,0,0,0,baixa,,
Fredrikstad byarkiv,fredrikstad-byarkiv,Norway,Europe,NO-00000028841,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028841,True,True,https://www.fredrikstad.kommune.no,fredrikstad.kommune.no,erro,,instavel,https://www.fredrikstad.kommune.no,0,0,0,alta,,Timeout ou falha no carregamento
Fylkesarkivet i Oppland / IKA Opplandene,fylkesarkivet-i-oppland-ika-opplandene,Norway,Europe,NO-00000028281,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028281,True,True,http://www.farkiv.no/,innlandetfylke.no,ok,200,integro,https://innlandetfylke.no/tjenester/fylkesarkivet,0,0,0,baixa,,
Fylkesarkivet i Sogn og Fjordane,fylkesarkivet-i-sogn-og-fjordane,Norway,Europe,NO-00000028282,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028282,True,True,http://www.fylkesarkiv.no/,fylkesarkiv.no,erro,,instavel,http://www.fylkesarkiv.no/,0,0,0,alta,,Timeout ou falha no carregamento
Fylkesarkivet i Vestland,fylkesarkivet-i-vestland,Norway,Europe,NO-00000028915,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028915,True,True,https://www.fylkesarkivet.no/,vestlandfylke.no,ok,200,integro,https://www.vestlandfylke.no/arkiv,0,0,1,baixa,,
Gudbrandsdalsmusea AS,gudbrandsdalsmusea-as,Norway,Europe,NO-00000028834,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028834,True,True,https://gudbrandsdalsmusea.no/,gudbrandsdalsmusea.no,ok,200,integro,https://www.gudbrandsdalsmusea.no/,0,0,0,baixa,,
Hordaland fylkesarkiv,hordaland-fylkesarkiv,Norway,Europe,NO-00000028284,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028284,True,True,http://www.hordaland.no/fylkesarkivet,hordaland.no,erro,,instavel,http://www.hordaland.no/fylkesarkivet,0,0,0,alta,,Timeout ou falha no carregamento
IKA Kongsberg,ika-kongsberg,Norway,Europe,NO-00000028285,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028285,True,True,http://www.ikakongsberg.no/,ikakongsberg.no,ok,200,integro,https://www.ikakongsberg.no/,0,0,0,baixa,,
IKA Møre og Romsdal,ika-m-re-og-romsdal,Norway,Europe,NO-00000028286,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028286,True,True,http://www.ikamr.no/,ikamr.no,ok,200,integro,https://www.ikamr.no/,1,1,0,media,,
IKA Trøndelag,ika-tr-ndelag,Norway,Europe,NO-00000028287,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028287,True,True,http://www.ika-trondelag.no/ika/,ika-trondelag.no,ok,200,integro,https://www.ika-trondelag.no/ika-bidrag-noark5/,0,0,0,baixa,,
IKAVA,ikava,Norway,Europe,NO-00000028288,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028288,True,True,http://www.ikava.no/,arkivsentersor.no,ok,200,integro,https://www.arkivsentersor.no/,0,0,0,baixa,,
Interkommunalt arkiv i Hordaland,interkommunalt-arkiv-i-hordaland,Norway,Europe,NO-00000028844,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028844,True,False,,,sem_site,,sem_site,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028844,0,0,0,media,Instituicao sem webpage externa informada na base consultada.,
Interkommunalt arkiv i Rogaland iks,interkommunalt-arkiv-i-rogaland-iks,Norway,Europe,NO-00000028289,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028289,True,True,http://ikarogaland.no/,ikarogaland.no,ok,200,integro,https://ikarogaland.no/,0,0,0,baixa,,
Kraftmuseet,kraftmuseet,Norway,Europe,NO-00000028833,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028833,True,True,http://www.kraftmuseet.no,kraftmuseet.no,ok,200,integro,https://kraftmuseet.no/,0,0,0,baixa,,
"Kvinnemuseet, Anno Museum",kvinnemuseet-anno-museum,Norway,Europe,NO-00000028825,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028825,True,True,http://www.kvinnemuseet.no,kvinnemuseet.no,erro,,instavel,http://www.kvinnemuseet.no,0,0,0,alta,,Timeout ou falha no carregamento
MF vitenskapelig høyskole,mf-vitenskapelig-h-yskole,Norway,Europe,NO-00000028914,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028914,True,True,https://www.mf.no/bibliotek/mfs-historiske-arkiv,mf.no,ok,200,integro,https://mf.no/bibliotek/mfs-historiske-arkiv,0,0,0,baixa,,
"Misjonshøgskolen, misjonsarkivet",misjonsh-gskolen-misjonsarkivet,Norway,Europe,NO-00000028290,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028290,True,True,http://www.mhs.no/,mhs.no,ok,200,integro,https://www.mhs.no/,0,0,0,baixa,,
Misjonskirken Norge,misjonskirken-norge,Norway,Europe,NO-00000028828,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028828,True,True,http://mknu.no/historiskarkivsenter,mkn.no,http_error,404,quebrado,https://mkn.no/historiskarkivsenter,0,0,0,alta,,
Mjøsmuseet,mj-smuseet,Norway,Europe,NO-00000028326,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028326,True,True,http://www.mjosmuseet.no/,mjosmuseet.no,erro,,instavel,http://www.mjosmuseet.no/,0,0,0,alta,,Timeout ou falha no carregamento
Museene i Sør-Trøndelag,museene-i-s-r-tr-ndelag,Norway,Europe,NO-00000028291,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028291,True,True,http://www.mist.museum.no/,mist.museum.no,erro,,instavel,http://www.mist.museum.no/,0,0,0,alta,,Timeout ou falha no carregamento
Museet Midt IKS,museet-midt-iks,Norway,Europe,NO-00000028292,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028292,True,True,http://museetmidt.no/,museetmidt.no,ok,200,integro,https://museetmidt.no/,0,0,0,baixa,,
Museum Vest,museum-vest,Norway,Europe,NO-00000028926,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028926,True,True,https://www.museumvest.no,museumvest.no,ok,200,integro,https://museumvest.no/,0,0,0,baixa,,
Museumssenteret i Hordaland avd. Osterøy museum,museumssenteret-i-hordaland-avd-oster-y-museum,Norway,Europe,NO-00000028293,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028293,True,True,https://muho.no/,muho.no,ok,200,integro,https://muho.no/,0,0,0,baixa,,
Næs Jernverksmuseum,n-s-jernverksmuseum,Norway,Europe,NO-00000028924,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028924,True,True,https://www.jernverksmuseet.no,jernverksmuseet.no,ok,200,integro,https://www.jernverksmuseet.no/,4,4,0,media,,
"Najsonalmuseet for kunst, arkitektur og design",najsonalmuseet-for-kunst-arkitektur-og-design,Norway,Europe,NO-00000028294,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028294,True,True,http://www.nasjonalmuseet.no/,nasjonalmuseet.no,ok,200,integro,https://www.nasjonalmuseet.no/,0,0,0,baixa,,
National Archives of Norway,national-archives-of-norway,Norway,Europe,NO---,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO---,True,False,,,sem_site,,sem_site,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO---,0,0,0,media,Instituicao sem webpage externa informada na base consultada.,
NAV Øst-Viken Dokumententer - Nord,nav-st-viken-dokumententer-nord,Norway,Europe,NO-00000028839,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028839,True,True,https://www.nav.no/no/person,nav.no,ok,200,integro,https://www.nav.no/,0,1,0,media,,
NLM-arkivet,nlm-arkivet,Norway,Europe,NO-00000028295,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028295,True,True,http://www.nlm.no/nlm/om-nlm/hovedkontoret/nlm-arkivet,nlm.no,http_error,404,quebrado,https://www.nlm.no/nlm/om-nlm/hovedkontoret/nlm-arkivet,0,7,2,alta,,
Nordlandsmuseet,nordlandsmuseet,Norway,Europe,NO-00000028316,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028316,True,True,http://nordlandsmuseet.no/,nordlandsmuseet.no,ok,200,integro,https://www.nordlandsmuseet.no/,0,1,0,media,,
Nordmøre Museum,nordm-re-museum,Norway,Europe,NO-00000028908,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028908,True,True,https://www.nordmore.museum.no/,nordmorsmusea.no,ok,200,integro,https://nordmorsmusea.no/,0,0,0,baixa,,
Nordøsterdalsmuseet,nord-sterdalsmuseet,Norway,Europe,NO-00000028296,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028296,True,True,http://www.nordosterdalsmuseet.no/3698.918.Hovedside.html,museainordosterdalen.no,http_error,404,quebrado,https://museainordosterdalen.no/3698.918.Hovedside.html,0,0,0,alta,Titulo da pagina sugere erro ou landing page generica.,
Norges hjemmefrontmuseum,norges-hjemmefrontmuseum,Norway,Europe,NO-00000028297,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028297,True,True,http://forsvaretsmuseer.no/Hjemmefrontmuseet,forsvarshistoriskmuseum.no,http_error,404,quebrado,https://www.forsvarshistoriskmuseum.no/Hjemmefrontmuseet,0,1,0,alta,,
Norsk folkemuseum,norsk-folkemuseum,Norway,Europe,NO-00000028298,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028298,True,True,https://norskfolkemuseum.no/,norskfolkemuseum.no,ok,200,integro,https://norskfolkemuseum.no/,0,0,0,baixa,,
Norsk helsearkiv,norsk-helsearkiv,Norway,Europe,NO-00000028913,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028913,True,True,https://www.arkivverket.no/om-oss/norsk-helsearkiv,nasjonalarkivet.no,restrito,403,restrito,https://www.nasjonalarkivet.no/om-oss/norsk-helsearkiv,0,0,0,alta,,
Norsk industriarbeidermuseum,norsk-industriarbeidermuseum,Norway,Europe,NO-00000028299,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028299,True,True,http://vemork.visitvemork.com/,vemork.visitvemork.com,ok,200,suspeito,http://vemork.visitvemork.com/cgi-sys/defaultwebpage.cgi,0,0,0,alta,"Pagina generica, suspensa ou de erro apesar de responder.",
Norsk luftfartsmuseum,norsk-luftfartsmuseum,Norway,Europe,NO-00000028300,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028300,True,True,https://www.luftfartsmuseum.no/,luftfartsmuseum.no,ok,200,integro,https://www.luftfartsmuseum.no/,0,0,0,baixa,,
Norsk Maritimt Museum,norsk-maritimt-museum,Norway,Europe,NO-00000028301,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028301,True,True,http://www.marmuseum.no/no/,marmuseum.no,erro,,instavel,http://www.marmuseum.no/no/,0,0,0,alta,,Timeout ou falha no carregamento
Norsk skogmuseum,norsk-skogmuseum,Norway,Europe,NO-00000028302,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028302,True,True,http://www.skogmus.no/?page=69,skogmus.no,erro,,instavel,http://www.skogmus.no/?page=69,0,0,0,alta,,Timeout ou falha no carregamento
Norsk Teknisk Museum,norsk-teknisk-museum,Norway,Europe,NO-00000028303,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028303,True,True,https://www.tekniskmuseum.no/,tekniskmuseum.no,ok,200,integro,https://www.tekniskmuseum.no/,0,0,0,baixa,,
Norsk Vegmuseum,norsk-vegmuseum,Norway,Europe,NO-00000028823,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028823,True,True,https://vegmuseum.no/,vegmuseum.no,ok,200,integro,https://vegmuseum.no/,0,0,0,baixa,,
NTNU Universitetsbiblioteket,ntnu-universitetsbiblioteket,Norway,Europe,NO-00000028304,University and research archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028304,True,True,https://www.ntnu.no/ub,ntnu.no,ok,200,integro,https://www.ntnu.no/ub,0,0,0,baixa,,
"Opplandsarkivet, Maihaugen",opplandsarkivet-maihaugen,Norway,Europe,NO-00000028305,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028305,True,True,http://maihaugen.no/no/Opplandsarkivet/,maihaugen.no,erro,,instavel,http://maihaugen.no/no/Opplandsarkivet/,0,0,0,alta,,Timeout ou falha no carregamento
Oslo byarkiv,oslo-byarkiv,Norway,Europe,NO-00000028306,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028306,True,True,https://www.oslo.kommune.no/natur-kultur-og-fritid/byarkivet/,oslo.kommune.no,ok,200,integro,https://www.oslo.kommune.no/natur-kultur-og-fritid/byarkivet/,0,0,0,baixa,,
OsloMet – storbyuniversitetet,oslomet-storbyuniversitetet,Norway,Europe,NO-00000028831,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028831,True,True,https://www.oslomet.no/Kontakt-oss,oslomet.no,http_error,404,quebrado,https://www.oslomet.no/Kontakt-oss,0,0,0,alta,,
Østfold Interkommunale Arkivselskap IKS,stfold-interkommunale-arkivselskap-iks,Norway,Europe,NO-00000028323,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028323,True,True,http://www.ika-ostfold.no/,ika-ostfold.no,erro,,instavel,http://www.ika-ostfold.no/,0,0,0,alta,,Timeout ou falha no carregamento
Østfoldmuseene,stfoldmuseene,Norway,Europe,NO-00000028840,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028840,True,True,https://ostfoldmuseene.no,ostfoldmuseene.no,ok,200,integro,https://ostfoldmuseene.no/,0,0,0,baixa,,
Privatarkiv i Buskerud,privatarkiv-i-buskerud,Norway,Europe,NO-00000028838,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028838,True,True,https://www.vestfoldmuseene.no/vestfoldarkivet/,vestfoldmuseene.no,ok,200,integro,https://vestfoldmuseene.no/vestfoldarkivet/,0,0,0,baixa,,
Rælingen kommune,r-lingen-kommune,Norway,Europe,NO-00000028311,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028311,True,True,https://www.ralingen.kommune.no/,ralingen.kommune.no,ok,200,integro,https://www.ralingen.kommune.no/,0,0,0,baixa,,
Randsfjordmuseene AS,randsfjordmuseene-as,Norway,Europe,NO-00000028307,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028307,True,True,http://www.randsfjordmuseene.no/,randsfjordmuseene.no,ok,200,integro,http://www.randsfjordmuseene.no/,0,0,0,baixa,,
Riksantikvaren,riksantikvaren,Norway,Europe,NO-00000028308,Specialised governmental archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028308,True,True,http://www.riksantikvaren.no/,riksantikvaren.no,ok,200,integro,https://riksantikvaren.no/,0,1,0,media,,
Risør Kystkultursenter,ris-r-kystkultursenter,Norway,Europe,NO-00000028827,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028827,True,True,http://risorkystkultursenter.no/,risorkystkultursenter.no,ok,200,integro,https://risorkystkultursenter.no/,0,0,0,baixa,,
Romsdalsmuseet,romsdalsmuseet,Norway,Europe,NO-00000028309,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028309,True,True,https://www.romsdalsmuseet.no/,romsdalsmuseet.no,ok,200,integro,https://www.romsdalsmuseet.no/,0,0,0,baixa,,
Ryfylkemuseet / Sauda lokalarkiv,ryfylkemuseet-sauda-lokalarkiv,Norway,Europe,NO-00000028310,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028310,True,True,https://ryfylkemuseet.no/,ryfylkemuseet.no,ok,200,integro,https://ryfylkemuseet.no/,0,0,0,baixa,,
Sarpsborg kommune,sarpsborg-kommune,Norway,Europe,NO-00000028312,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028312,True,True,http://www.sarpsborg.com/,sarpsborg.com,ok,200,integro,http://www.sarpsborg.com/,0,0,0,baixa,,
Senter for studier av Holocaust og livsynsminoriteter,senter-for-studier-av-holocaust-og-livsynsminoriteter,Norway,Europe,NO-00000028826,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028826,True,True,https://www.hlsenteret.no/,hlsenteret.no,ok,200,integro,https://www.hlsenteret.no/,0,0,0,baixa,,
Ski lokalhistoriske arkiv,ski-lokalhistoriske-arkiv,Norway,Europe,NO-00000028313,Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028313,True,True,http://www.ski.no/sla,ski.no,erro,,instavel,http://www.ski.no/sla,0,0,0,alta,,Timeout ou falha no carregamento
Sør-Troms Museum,s-r-troms-museum,Norway,Europe,NO-00000028824,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028824,True,True,https://www.stmu.no,stmu.no,restrito,403,restrito,https://www.stmu.no/,0,0,0,alta,,
språksamlingane,spr-ksamlingane,Norway,Europe,NO-00000028909,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028909,True,True,https://www.uib.no/,www4.uib.no,ok,200,integro,https://www4.uib.no/,0,0,0,baixa,,
Stavanger byarkiv,stavanger-byarkiv,Norway,Europe,NO-00000028315,County/local authority archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028315,True,True,https://www.stavanger.kommune.no/byarkivet,stavanger.kommune.no,ok,200,integro,https://www.stavanger.kommune.no/byarkivet,0,0,2,baixa,,
Stiftelsen Kulturkvartalet,stiftelsen-kulturkvartalet,Norway,Europe,NO-00000028829,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028829,True,False,,,sem_site,,sem_site,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028829,0,0,0,media,Instituicao sem webpage externa informada na base consultada.,
Stiftinga Jærmuseet,stiftinga-j-rmuseet,Norway,Europe,NO-00000028835,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028835,True,True,https://www.jaermuseet.no/,jaermuseet.no,ok,200,integro,https://www.jaermuseet.no/,0,0,0,baixa,,
Stortinget,stortinget,Norway,Europe,NO-00000028325,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028325,True,True,https://www.stortinget.no/stortingsarkivet,stortinget.no,ok,200,integro,https://www.stortinget.no/stortingsarkivet,0,0,1,baixa,,
Svalbard Museum,svalbard-museum,Norway,Europe,NO-00000028923,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028923,True,True,https://svalbardmuseum.no,svalbardmuseum.no,ok,200,integro,https://svalbardmuseum.no/,0,0,0,baixa,,
Telemark museum,telemark-museum,Norway,Europe,NO-00000028317,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028317,True,True,http://telemarkmuseum.no/,telemarkmuseum.no,ok,200,integro,https://www.telemarkmuseum.no/,0,0,0,baixa,,
Telemuseet,telemuseet,Norway,Europe,NO-00000028318,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028318,True,True,http://telemuseet.no/,telemuseet.no,ok,200,integro,https://telemuseet.no/,0,0,0,baixa,,
The Regional State Archives in Bergen,the-regional-state-archives-in-bergen,Norway,Europe,NO-n,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-n,True,True,https://www.arkivverket.no/om-oss/besok-oss/statsarkivet-i-bergen,nasjonalarkivet.no,restrito,403,restrito,https://www.nasjonalarkivet.no/om-oss/besok-oss/statsarkivet-i-bergen,0,0,0,alta,,
