institution,slug,country,continent,repository_code,archive_type,estonian_film_archive_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/RPL8sIdZ2iJ,Homemouse,Student film; Animated film; Chia-Hui Lei,"""Homemouse"" is a puppet-animation film inspired by the artist’s experience of living alone. Taking space as its point of departure, the film follows the everyday routines of a small, introverted mouse living by itself, portraying both the comfort of solitude and the inner hesitations that accompany stepping out into the wider world. | tipo de filme: Student film, Animated film | direção: Chia-Hui Lei | ano: 2026 | regime Arkaader: acesso com restrição territorial | georrestrição declarada | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/Z1hTpDcGtay,Nature's Finest Picture,Short film; Aadam Tootsen; Jaan Tootsen,"""To take the best nature photos, you have to consider different lighting conditions, different motifs..."" | Focus is not in the lens. | tipo de filme: Short film | direção: Aadam Tootsen, Jaan Tootsen | ano: 2026 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/AMA_Mq1KS0u,Operation Vilma,Short film; Kevin Piperal; Philip Kaat,"74-year-old Vilma suddenly finds herself in the middle of a secret special operation whose success depends only on her. The crisis escalates in minutes, orders fly from all directions, and there is no time for questions. Amidst the growing tension, Vilma must decide who and what to trust. | Mission. Manipulation. Illusion. | tipo de filme: Short film | direção: Kevin Piperal, Philip Kaat | ano: 2026 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/xapTvZUm87_,Puuluup - Cabels in the Car,Documentary; Portrait; Taavi Arus,"A humorous and poetic music documentary about two middle-aged musicians who are bringing the long-forgotten Talharpa to world stages. Puuluup is a middle-aged ""boyband"" that conquered Eurovision and world stages with their Talharpas and an absurdly funny show. The film takes viewers behind the scenes and into the everyday reality of stardom, where a balance must be struck between success and family life. Dry humour, absurd situations, and ""neo-zombie-post-folk"" music intertwine in a portrait where the glory of the stage clashes with everyday life and fatherhood. It is a story that makes you laugh and touches your heart. The film proves that late success can be the sweetest. | tipo de filme: Documentary | gênero: Portrait | direção: Taavi Arus | ano: 2026 | duração: 01:36:27 | regime Arkaader: acesso com restrição territorial | preço declarado: 5.90 EUR | georrestrição declarada | referências externas: Meediateek: https://www.meediateek.ee/film/view?id=342631&q=puuluup; Eesti filmi andmebaas: https://www.efis.ee/film/21928 | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/28l-5aXaslF,The Box,Short film; Kaur Hallik; Anne Maria Vaher,"How many boxes can one life fit into? | tipo de filme: Short film | direção: Kaur Hallik, Anne Maria Vaher | ano: 2026 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/6Ae1pQIp5R9,The Crack,Student film; Animated film; Viktoria Shmidt,"The protagonist, a man shattered like a mirror, lives in his own closed world, where time stands still. And every attempt to drown out the emptiness only deepens it. Gradually, trauma and the inability to cope with his own feelings and the loss of his family begin to consume the entire world around him, until it draws the protagonist into endless darkness. Finding himself trapped within his own pain, he encounters what remains after loss: silence and the opportunity to begin anew. | tipo de filme: Student film, Animated film | direção: Viktoria Shmidt | ano: 2026 | regime Arkaader: acesso com restrição territorial | georrestrição declarada | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/gJPzhLK8nT5,The Distortion,Short film; Horror; Kevin Piperal; Philip Kaat,"While the issue of scammers is more relevant to older generations, young people face different but equally serious challenges. The social media era has brought a mental health crisis to a head among young people, where self-worth tends to depend on appearance, likes, and the approval of others. Constant comparison and pressure to live up to certain beauty ideals can make a young person focus on small flaws until they begin to overshadow their entire self-image. | The longer you look, the less you see. | tipo de filme: Short film | gênero: Horror | direção: Kevin Piperal, Philip Kaat | ano: 2026 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/OLGjAD-XTgn,The Process and the Archive,Documentary; Kevin Loigu; Kristo Nurmis,"The video essay “The Process and the Archive” synthesizes film, sound, and visual material. The essay analyzes the historical reality of mass violence during the German occupation and its ideological framing, asking: can archives created for propagandic purposes be valuable sources today? The essay features historian Kristo Nurmis and memory researchers Eneken Laanes and Hanna Maria Aunin. | tipo de filme: Documentary | direção: Kevin Loigu, Kristo Nurmis | ano: 2026 | duração: 18:21 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/pp_8HVYnP6w,The Wait,Documentary; Aleksandr Heifets,An atmospheric documentary about everyday moments of eternal waiting. | It could happen any minute... | tipo de filme: Documentary | direção: Aleksandr Heifets | ano: 2026 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.,2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/WiMc9mwSqov,Andrus,Documentary; Portrait; Madis Reimund,"Top athletes live an enviable life surfing the crest of the wave: they are rich, beautiful, healthy and admired. Yet everyone has to start from scratch after their sports career ends. It is a new life that must be faced with courage. Andrus Värnik, a former world champion who was sentenced to prison almost 10 years ago, lives with his mother in his childhood home in Antsla. In October, it was 7 years since he last drank. | tipo de filme: Documentary | gênero: Portrait | direção: Madis Reimund | ano: 2025 | duração: 28:56 | regime Arkaader: acesso público gratuito | referências externas: Meediateek: https://www.meediateek.ee/film/view?id=115284&q=Andrus; Eesti filmi andmebaas: https://www.efis.ee/film/21616 | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2025
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/LNL2w-E3uL0,Anne,Short film; Lota Viik,"Kui suurt rolli selles, et laululapsest saab laulja mängib looduslik anne ja kui suure osa moodustavad tahe ja harjutamine või on lapse suurtele lavadele jõudmise tähtsaim komponent hoopis lauluõpetaja? | tipo de filme: Short film | direção: Lota Viik | ano: 2025 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2025
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/7LprS6BVPF1,Arkaadri vestlused: kostüümikunstnik Mare Raidma,,"Kostüümikunstnik Mare Raidma on riietanud näitlejaid ligi 50 filmi juures. Tema tuntumate tööde hulka kuuluvad „Karoliine hõbelõng“ (1984), „Metsluiged“ (1987), „Inimene, keda polnud“ (1989) „Suvi“ (1990) „Somnambuul“, „Georg“ (2007), „1944“ (2015), „Kalev“ (2022) jt. Muinasjutufilmidega „Karoliine hõbelõng“ ja „Metsluiged“ on üles kasvanud mitu põlvkonda lapsi. Kes ei mäletaks Karoliine rännakut saatvaid Luule Komissarovi ja Ines Aru kehastatud sensuaalseid, rokokoole omases värvigammas voogavates kostüümides unehaldjaid. Kuningatütar Elise „kätetööd“, koredaid nõgesesärke ja mängufilmis „Ruudi“ esinevaid savisõdureid, mis elusuuruses viikingisõdalastena ellu ärkavad. Lummavad kaadrid muinasjuttude sõprade fantaasiale! Kostüümikunstnik Mare Raidma on ühes varasemas intervjuus kirjeldanud kostüümiloomet pasjansiladumisena. Selles protsessis tekivad kihid ja kihistused. Karakterist tõukuv koloriit toetab stseenide dramaturgiat, kostüümide kaudu avaldub karakterikaar. Kunstnik Mare Raidma looming Eesti filmides pakub vaatamisnaudingut nii kaunite kostüümide ja koloriidi kui ka leidlike detailide poolest. Eesti kirjandusklassikal, elulugudel ja tõsielulistel sündmustel valminud filmid on olnud fantaasiaküllasele kostüümikunstnikule põnevaks materjalide, värvide ja tekstuuride ning ajastule omase väljatoomise mänguväljaks. Publikule meeldejäävat näitlejatööd raamistab kunstniku loodud kostüüm, millel on oluline osa tegelaskuju kinnistumisel vaataja mällu. Arkaadri vestlusõhtu toimus 9. aprillil 2025 kinos Artis. | ano: 2025 | regime Arkaader: acesso público gratuito | transmis...",2025
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/xwdPmmR5FKu,Arno ja Teele,Animated film; Puppet animation; Riho Unt,"Juba linnukesed... Ornitoloogid üle maailma ei ole siiani leidnud rahuldavat seletust rändlindude geopoliitiliste eelistuste kohta. Sarnaselt immigrantidele ei hooli ka linnud riigipiiridest ega nende ületamise reeglitest. Mis on põhjuseks, et osa nendest rahututest värvulistest valib oma pesitsuspaigaks just Eesti Vabariigi? Kas on selleks sobiv kliima, mulgipuder ja verivorst või sootuks sisemajanduse kogutoodang ühe inimese kohta? Aga äkki hoopis meie keel ja kultuur on see, mis paarituvatele sulelistele hinge läheb?! | tipo de filme: Animated film | gênero: Puppet animation | direção: Riho Unt | ano: 2025 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2025
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/31hdnNVsIzb,Aurora,Feature film; Drama; Rain Tolk; Andres Maimik,"Aurora, the daughter of a religious leader, travels with her husband Joonas to celebrate their wedding anniversary with their parents. At the same time, her ex-lover Lenny tries to contact her, which doesn’t go unnoticed by his husband. The anniversary celebrations turn into a spectacle celebrating family values, with which Aurora’s father Valdek wants to create an image of the ideal family model for his followers. In parallel, a second timeline is set in motion - the love story of Aurora and Lenny, which took place a year ago, in which Lenny draws Aurora into his twisted world. When Aurora discovers that Lenny has other women, she ends their affair. One afternoon, when Aurora’s family is together, Lenny appears and causes a scandal. The affair comes to light. Aurora breaks down and turns to her father for help. Her religious father manipulates her daughter into returning to her old life and seizes control of her life and relationships. Back at the wedding anniversary celebrations. The event has proceeded according to script until Lenny’s ex-girlfriend Mia arrives unexpectedly, bringing news of an accident involving Lenny. Shocked, Aurora drives to the hospital, where Lenny, who has fallen from the After Lenny’s death, Joonas confesses to his wife that both his father and Aurora’s father are involved in the incident that led to Lenny’s death. Secrets come to light, cracking the carefully kept facade of a harmonious family. Aurora decides to backtrack and turn her father’s “ideal family” into a revelation of the regime Valdek has established. | tipo de filme: Feature film |...",2025
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/jpg37_RHPx8,Becoming Roosi,Documentary; Margit Lillak,"Deep, funny and provocative story of a girl who escaped a hippy eco-commune as a child and became a cosmopolitan citizen. Who will save the planet if not the last generation? | tipo de filme: Documentary | direção: Margit Lillak | ano: 2025 | duração: 01:24:50 | regime Arkaader: acesso com restrição territorial | preço declarado: 5.90 EUR | georrestrição declarada | referências externas: Eesti filmi andmebaas: https://www.efis.ee/film/21613 | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2025
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/y7qyQOyCnoo,Fränk,Feature film; Teen; Drama; Tõnis Pill,"Following a serious domestic violence incident, 13 year old Paul arrives in an unfamiliar town where in his pursuit of happiness he makes one bad decision after another. His seemingly inevitable downfall is thwarted, however, by a strange disabled man. | tipo de filme: Feature film | gênero: Teen, Drama | direção: Tõnis Pill | ano: 2025 | duração: 01:48:13 | regime Arkaader: acesso com restrição territorial | preço declarado: 5.90 EUR | georrestrição declarada | referências externas: Meediateek: https://www.meediateek.ee/film/view?id=117764&q=allfilm&page=3&per-page=25; Eesti filmi andmebaas: https://www.efis.ee/film/21683 | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2025
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/mZroRtaqhyX,Joonistatud lood,Short film; Portrait; Maria Uppin,"Joonistatud lood’ on vaikselt kulgev portreehetk. Lasteraamatute autor Kristi Kangilaski meenutab hetki lapsepõlvest, luues samal ajal uusi mälestusi uutele väikestele lugejatele. | tipo de filme: Short film | gênero: Portrait | direção: Maria Uppin | ano: 2025 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2025
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/xnkjNUldg1_,Kohustuslik kirjandus,Short film; Thriller; Liina Särkinen,"Õpetaja katkestab lõkkeõhtu ootamatult tuttava looga. See, mis järgneb ei ole tavaline kirjandustund, vaid kontrollimatu paanika. Humoorikas 1-minutifilm toob klassikalise kirjanduse õudusžanrisse ja näitab, kui hirmutav võib olla mõte kohustuslikust kirjandusest. | tipo de filme: Short film | gênero: Thriller | direção: Liina Särkinen | ano: 2025 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2025
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/hhaGaCQ8CC-,Kujutluste maailm,Experimental film; Mirjam Matiisen,„Kujutluste maailm“ on kinematograafiline teekond ühe erilise inimese lugemiskogemusse. Lugemine on kõigile! | tipo de filme: Experimental film | direção: Mirjam Matiisen | ano: 2025 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.,2025
