institution,slug,country,continent,repository_code,archive_type,cinearchives_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-chateaux-du-bonheur-les-1104-19-1-2.html,CHÂTEAUX DU BONHEUR (LES),Albert MOURLAN; Sonore,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Albert MOURLAN | duração: 00:50:00 | som: Sonore | Commandé par la mairie de Gennevilliers, Les Châteaux du bonheur a pour ambition de valoriser la politique menée en faveur de l'enfance par l’équipe",1936,CHÂTEAUX DU BONHEUR (LES),1936-01-01,Documentário e registro histórico,Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-colonies-de-vacances-colombes-1936-1104-742-1-2.html,COLONIES DE VACANCES (COLOMBES 1936),Albert MOURLAN; Muet,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Albert MOURLAN | duração: 00:11:00 | som: Muet | En 1935, la mairie de Colombes passe à gauche: une liste de Front populaire l'emporte et c'est le communiste Elie Bruneau qui est élu maire. Comme",1936,COLONIES DE VACANCES (COLOMBES 1936),1936-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-colonies-de-vacances-de-montreuil-parc-de-montreau-1104-468-1-2.html,COLONIES DE VACANCES DE MONTREUIL : PARC DE MONTREAU,Albert MOURLAN; Muet,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Albert MOURLAN | duração: 00:19:00 | som: Muet | Une journée type pour les enfants de Montreuil qui participent au camp de vacances installé dans le parc Montreau, dans les hauteurs de la ville. On",1936,COLONIES DE VACANCES DE MONTREUIL : PARC DE MONTREAU,1936-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-colonies-de-vacances-de-montreuil-saint-bris-1104-467-1-2.html,COLONIES DE VACANCES DE MONTREUIL : SAINT-BRIS,Albert MOURLAN; Muet,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Albert MOURLAN | duração: 00:10:00 | som: Muet | Court film sur le quotidien des enfants de Montreuil à la colonie de vacances de Saint-Bris, en Bourgogne.La trame est celle de tous les films de",1936,COLONIES DE VACANCES DE MONTREUIL : SAINT-BRIS,1936-01-01,Documentário e registro histórico,Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-colonne-durruti-la-1104-95-1-2.html,COLONNE DURRUTI (LA),ANONYME; Sonore,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: ANONYME | duração: 00:30:00 | som: Sonore | Les victoires militaires et la vie quotidienne de la colonne Durruti dans la plaine de l'Aragon, dans les premiers mois de la guerre d'Espagne",1936,COLONNE DURRUTI (LA),1936-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-fete-sportive-a-troyes-1104-2511-1-2.html,FETE SPORTIVE A TROYES,GORGET; Muet,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: GORGET | duração: 00:13:00 | som: Muet | Ce film amateur relate une journée de festivités autour du sport organisée dans le quartier des Trévois, à Troyes. Des enfants du groupe scolaire",1936,FETE SPORTIVE A TROYES,1936-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-garches-1936-1104-18-1-2.html,GARCHES 1936,COLLECTIF CINÉ-LIBERTÉ; Sonore,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: COLLECTIF CINÉ-LIBERTÉ | duração: 00:10:00 | som: Sonore | La fête du parti communiste et de son journal, l'Humanité, en banlieue parisienne, dans le parc de Garches, le 30 août 1936. Ce film montre d'abord",1936,GARCHES 1936,1936-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-greves-d-occupations-1104-17-1-2.html,GRÈVES D’OCCUPATIONS,COLLECTIF CINÉ-LIBERTÉ; Sonore,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: COLLECTIF CINÉ-LIBERTÉ | duração: 00:13:00 | som: Sonore | Manifestations et grèves de juin 1936 en région parisienne, principalement à Billancourt (usines Renault) et à Boulogne, Gennevilliers et",1936,GRÈVES D’OCCUPATIONS,1936-01-01,Documentário e registro histórico,Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-heritage-l-1104-470-1-2.html,HÉRITAGE (L'),Albert MOURLAN; Muet,Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Albert MOURLAN | duração: 00:38:00 | som: Muet | L'héritage expose la situation de la ville de Colombes à l'heure où une nouvelle équipe municipale vient tout juste d'être élue. Le film commence,1936,HÉRITAGE (L'),1936-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-por-la-independencia-de-espana-1104-93-1-2.html,POR LA INDEPENDENCIA DE ESPANA,Alfonso GIMENO; Sonore,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Alfonso GIMENO | duração: 00:32:00 | som: Sonore | Film de propagande vantant les mérites de l'armée populaire nouvellement constituée, et rappelant l'héroïsme jamais démenti au cours de l'histoire",1936,POR LA INDEPENDENCIA DE ESPANA,1936-01-01,Documentário e registro histórico,Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-vie-est-a-nous-la-1104-16-1-2.html,VIE EST A NOUS (LA),Jean RENOIR; Sonore,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Jean RENOIR | duração: 01:02:00 | som: Sonore | La France, à la veille des élections législatives, entre la menace du fascisme national et international, la politique de crise et de répression",1936,VIE EST A NOUS (LA),1936-01-01,Documentário e registro histórico,Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-ville-de-troyes-colonies-de-vacances-1936-1104-2514-1-2.html,VILLE DE TROYES - COLONIES DE VACANCES 1936,GORGET; Muet,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: GORGET | duração: 00:16:00 | som: Muet | La municipalité de Troyes a été dirigée entre 1935 et 1940 par René Plard. D'abord militant SFIO, puis fondateur du parti communiste de l'Aube,",1936,VILLE DE TROYES - COLONIES DE VACANCES 1936,1936-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-ville-de-troyes-colonies-de-vacances-1936-bobine-2-1104-2516-1-2.html,VILLE DE TROYES - COLONIES DE VACANCES 1936 - BOBINE 2,GORGET; Muet,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: GORGET | duração: 00:20:00 | som: Muet | La municipalité de Troyes a été dirigée entre 1935 et 1940 par René Plard. D'abord militant SFIO, puis fondateur du parti communiste de l'Aube,",1936,VILLE DE TROYES - COLONIES DE VACANCES 1936 - BOBINE 2,1936-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://diazcinearchives.oembed.diazinteregio.org/embed/CineA-1935-7eCongresKom-21-1_1?feature=oembed,7ÈME CONGRÈS DU KOMINTERN A MOSCOU (LE),ANONYME; Moscou (ville); 1936-1938 Front populaire | 1922-1991 URSS | Barbusse Henri | Cachin Marcel | Dimitrov Georgi | Doriot Jacques | Gitton Marcel | Gorki Maxime | Guyot Raymond | Marty André | Rolland Romain | Thorez Maurice | Togliatti Palmiro,"Ficha pública do catálogo Ciné-Archives. | ano: 1935 précisément | duração: 00:28:00 | formato: Film 16 mm | som: Sonore | coloração: Noir & Blanc | embed: https://diazcinearchives.oembed.diazinteregio.org/embed/CineA-1935-7eCongresKom-21-1_1?feature=oembed | Description Séquences Photos Interventions de Marcel Cachin et de Maurice Thorez au VIIe congrès de la IIIe Internationale, tenu du 25 juillet au 21 août 1935, à Moscou. Après une longue ovation, Marcel Cachin dresse un bilan très positif de l'action du parti communiste en son pays : nombreux gains en militants, rapprochement structurel du mouvement ouvrier (réunification des organisations sportives), meilleure diffusion de la presse communiste, succès électoraux. Marcel Cachin insiste sur les victoires des dernières élections municipales en banlieue parisienne et sur le dévouement des membres des Comités de Diffusion de l'Humanité (C.D.H). Il achève son allocution par un salut aux délégations soviétiques et à l'URSS. Maurice Thorez évoque, quant à lui, les dangers du fascisme ainsi que les progrès et les insuffisances politiques du Parti communiste. Il cite le succès des manifestations du 14 juillet 1935 et 6 février 1934, l'élimination du groupe Barbé-Célor et la lutte contre Doriot. Le dirigeant communiste clôt ensuite le congrès : après l'exécution de L'Internationale par un orchestre, Thorez chante La Carmagnole, le chant révolutionnaire étant repris, en français, par tous les congressistes. Moment clé dans l'histoire de la IIIe Internationale, ce VIIe congrès entérine la politique d'unité contre le fascisme et d...",1935,7ÈME CONGRÈS DU KOMINTERN A MOSCOU (LE),1935-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-colonie-de-vacances-la-luziere-1104-465-1-1.html,COLONIE DE VACANCES - LA LUZIERE,Albert MOURLAN; Muet,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Albert MOURLAN | duração: 00:05:00 | som: Muet | Ce film porte le nom de la colonie de vacances de la ville de Bezons, qui envoyait chaque année les enfants en colonies de vacances dans le Loiret,",1935,COLONIE DE VACANCES - LA LUZIERE,1935-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://diazcinearchives.oembed.diazinteregio.org/embed/CineA-1935-GrandPrixCyc-86-1_1?feature=oembed,GRAND PRIX CYCLISTE DE L'HUMANITÉ (LE),"COLLECTIF CINÉ-LIBERTÉ; Paris (75) , La Courneuve (93) , Stains (93) , Argenteuil (95); L'Humanité (journal) | Cyclisme | Compétition sportive | 1936-1938 Front populaire | Fédération Sportive et Gymnique du Travail | Cachin Marcel | Vaillant-Couturier Paul","Ficha pública do catálogo Ciné-Archives. | ano: 1935 précisément | duração: 00:10:00 | formato: Film 35 mm | som: Sonore | coloração: Noir & Blanc | coleção: CINÉ-LIBERTÉ | embed: https://diazcinearchives.oembed.diazinteregio.org/embed/CineA-1935-GrandPrixCyc-86-1_1?feature=oembed | Description Photos Le prix cycliste de l'Humanité, soutenu par la F.S.G.T, se déroule Rouen, à Paris en mai 1935. Ce reportage sportif (sans allocution politique) décrit le départ et la course des cyclistes, les spectateurs amassés le long du parcours saluent le passage des coureurs le poing levé. Les démonstrations gymniques et sportives (aviation populaire) ponctuent, au stade Maurice Thorez de la Courneuve, l'attente de l'arrivée de la course, en présence de Marcel Cachin et Paul Vaillant-Couturier. Une camionnette et un vendeur de l'Humanité sont au départ de la course, une camionnette et un opérateur de Ciné-Liberté à son arrivée. Présence également d'une chorale au stade Maurice Thorez de la Courneuve. Le Grand Prix Cycliste de l'Humanité témoigne de la mobilisation des organisations sportives, culturelles et politiques du Front Populaire, un an avant sa victoire électorale, et de l'importance du sport ouvrier pour le parti communiste (banderole, au départ de la course : « Les communistes défendent le sport ouvrier »). Générique : « Ciné-Liberté (ACI) 12, rue de Navarin Paris (IXème) présente : Un grand reportage sportif : Le Grand Prix cycliste de l'Humanité (Rouen-Paris) réalisé par l'Équipe des Techniciens de Ciné-Liberté ». Musique : Au-devant de la vie, le chant des partisans, l'Inte...",1935,GRAND PRIX CYCLISTE DE L'HUMANITÉ (LE),1935-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-kermesse-ivry-1104-471-1-1.html,KERMESSE IVRY,Albert MOURLAN; Muet,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Albert MOURLAN | duração: 00:05:00 | som: Muet | Grande kermesse populaire à Ivry, avec spectacles et compétitions sportives, pour financer les Vacances Populaires Enfantines. Créées en 1926 par le",1935,KERMESSE IVRY,1935-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-realisations-de-la-municipalite-d-alfortville-les-1104-473-1-1.html,REALISATIONS DE LA MUNICIPALITE D'ALFORTVILLE (LES),Albert MOURLAN; Muet,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Albert MOURLAN | duração: 01:23:00 | som: Muet | Ce document muet rassemble des éléments de montage d'un documentaire consacré aux actions de la municipalité d'Alfortville, probablement réalisé en",1935,REALISATIONS DE LA MUNICIPALITE D'ALFORTVILLE (LES),1935-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://diazcinearchives.oembed.diazinteregio.org/embed/CineA-1934-ColonieDeFul-455-1_1?feature=oembed,COLONIE DE FULVY (LA),"Albert MOURLAN; Malakoff (92) , Fulvy (89); Colonie de vacances | Mouvement de jeunesse | Banlieues rouges, « communisme municipal » | Enfant | Sport","Ficha pública do catálogo Ciné-Archives. | ano: 1934 précisément | duração: 00:45:00 | formato: Film 35 mm | som: Muet | coloração: Noir & Blanc | coleção: Albert MOURLAN | embed: https://diazcinearchives.oembed.diazinteregio.org/embed/CineA-1934-ColonieDeFul-455-1_1?feature=oembed | Description Séquences Photos Ce film présente la colonie de vacances organisée par la municipalité communiste de Malakoff à Fulvy, dans l'Yonne. Le cadre de la colonie est d’abord présenté : les enfants séjournent dans un château entouré par une vaste propriété. C’est ensuite une journée-type de vacances qui est relatée. Dans la matinée, les enfants font une séance de gymnastique. Une fois par semaine, une visite médicale permet de vérifier leur bonne santé. Après des jeux, les colons déjeunent dans de grands réfectoires. L’après-midi commence par la distribution du courrier ; elle se poursuit par de nombreuses activités sportives et récréatives. Lorsque le temps le permet, les colons partent se baigner dans la rivière voisine du château. La Colonie de Fulvy se termine sur le retour des enfants à Malakoff après de belles vacances. En 1925, Malakoff devient communiste : Léon Piginnier (1884-1944) est élu maire ; il conserve cette fonction jusqu'en 1939. La ville fait dès lors partie de la ceinture rouge qui se forme autour de Paris. Ce film met en lumière les efforts réalisés par la municipalité communiste en faveur des enfants. Partir en vacances reste rare pour les familles d'ouvriers, qui plus est avant l'instauration des deux semaines de congés payés en 1936. Dans ce contexte, les séjours d...",1934,COLONIE DE FULVY (LA),1934-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://diazcinearchives.oembed.diazinteregio.org/embed/1199 - PAQUEBOT NORMANDIE/CineA-1934-1199-PaquebotNorm-1-1?feature=oembed,FINITIONS ET DECORATIONS DU PAQUEBOT NORMANDIE,ANONYME; Peintre en bâtiment | Équipage maritime | Construction navale | Paquebot | Normandie (bateau),"Ficha pública do catálogo Ciné-Archives. | ano: 1934 précisément | duração: 00:03:00 | formato: Film 35 mm | som: Muet | coloração: Noir & Blanc | embed: https://diazcinearchives.oembed.diazinteregio.org/embed/1199 - PAQUEBOT NORMANDIE/CineA-1934-1199-PaquebotNorm-1-1?feature=oembed | Description Photos Ouvriers et membres de l'équipage s'affairent aux dernières finitions du paquebot Normandie. Vues de l'intérieur du navire (plafonds, lustres, luminaires), et du pont du bateau, encore encombre d'échelles et d'escabeaux. Les cheminées du bateau crachent leur vapeur tandis que les grues sont en action. Vue générale du port. Retour dans les couloirs du navire, et dans différents salons, que finissent de décorer les peintres et menuisiers. Le Normandie est un paquebot transatlantique de la Compagnie générale transatlantique, construit par les chantiers de Penhoët (actuels Chantiers de l'Atlantique) à Saint-Nazaire à partir de 1931 et immatriculé au Port du Havre en 1935. Le projet voit le jour dès 1926, et vise à donner à la France un navire à la fois grand et rapide. Le chantier débute le 26 janvier 1931 à Saint-Nazaire. La Grande dépression ralentit la construction et la mise en service du paquebot n’est effective qu’en 1935. Lorsqu'il entre en service commercial, le Normandie est le plus grand paquebot au monde. Son voyage inaugural constitue un événement médiatique considérable et confère un immense prestige à la France. Des modifications sont entreprises en 1936 avant que le luxueux paquebot entre en compétition avec son rival anglais Queen Mary. Lieux de consultation : C...",1934,FINITIONS ET DECORATIONS DU PAQUEBOT NORMANDIE,1934-01-01,Documentário e registro histórico,Arquivo audiovisual institucional
